Rank,Title,Type,Premiere,Genre,Watchtime in Million
434,Sanctuary,TV Show,2023,Drama,39.4
435,Suits,TV Show,2011,Drama,39.4
436,Ganglands,TV Show,2021,Action,39.3
437,The Hunger Games,Movie,2012,Science Fiction,39.3
438,Trolley,TV Show,2022,Thriller,39.2
439,High Heat,TV Show,2022,Crime,39.1
440,Rosario Tijeras,TV Show,2016,Action,38.9
441,The Sinner,TV Show,2017,Crime,38.9
442,Avatar: The Last Airbender,TV Show,2005,Fantasy,38.7
443,Ozark,TV Show,2017,Drama,38.7
444,Shark Tale,Movie,2004,Animation,38.7
445,The Hatchet Wielding Hitchhiker,Movie,2023,Documentary,38.7
446,6 Underground,Movie,2019,Action,38.6
447,Better Call Saul,TV Show,2015,Crime,38.6
448,Narcos,TV Show,2015,Drama,38.6
449,Grey's Anatomy,TV Show,2005,Drama,38.4
450,Mother's Day,Movie,2023,Action,38.3
451,Orange Is the New Black,TV Show,2013,Drama,38.3
452,Vikings,TV Show,2013,History,38.3
453,El Chapo,TV Show,2017,Drama,38.2
454,Brooklyn Nine-Nine,TV Show,2013,Comedy,38.1
455,Queer Eye,TV Show,2018,Reality-Show,38.1
456,Schlafende Hunde,TV Show,2023,Crime,38
457,The Big Bang Theory,TV Show,2007,Comedy,38
458,The Good Doctor,TV Show,2017,Drama,38
459,Cúmplices de um Resgate,TV Show,2015,Comedy,37.8
460,The Big Bang Theory,TV Show,2007,Comedy,37.8
461,The Flash,TV Show,2014,Superhero,37.7
462,The Good Doctor,TV Show,2017,Drama,37.7
463,Back to the Outback,Movie,2021,Animation,37.6
464,Booba,TV Show,2014,Animation,37.6
465,The Big Bang Theory,TV Show,2007,Comedy,37.6
466,Vikings,TV Show,2013,History,37.6
467,As Aventuras de Poliana,TV Show,2018,Drama,37.5
468,The Big Bang Theory,TV Show,2007,Comedy,37.4
469,The Rookie,TV Show,2018,Crime,37.4
470,Fauda,TV Show,2015,Action,37.3
471,Mr. Sunshine,TV Show,2018,History,37.3
472,2 Guns,Movie,2013,Action,37.1
473,"Lyle, Lyle, Crocodile",Movie,2022,Family,37.1
474,Money Heist,TV Show,2017,Action,37.1
475,Outlander,TV Show,2014,Drama,37.1
476,Queens on the Run,Movie,2023,Comedy,37.1
477,Shameless,TV Show,2011,Comedy,37.1
478,S.W.A.T.,TV Show,2017,Crime,37
479,The Mitchells vs. The Machines,Movie,2021,Animation,36.9
480,Peaky Blinders,TV Show,2013,Drama,36.9
481,Seinfeld,TV Show,1989,Comedy,36.9
482,PJ Masks,TV Show,2015,Animation,36.7
483,Amar y Vivir,TV Show,2020,Drama,36.6
484,Glamorous,TV Show,2023,Drama,36.6
485,Meekah,TV Show,2022,Animation,36.6
